chunk1,chunk2,vector
Dzhokhar Tsarnaev,Dzhokhar Tsarnaev,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
not guilty,charged,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
to Boston bombing charges,in Boston Marathon bombing,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
P.G. police,Police,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
seeking,seek,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Egyptian army,'s Morsi,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Cryptic crossword,Quiz crossword,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Saturday 27th April,Saturday 27th April,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Angelina Jolie,Angelina Jolie and the complex truth,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
of breast cancer,about breast cancer,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
from Israeli prison,in Israel jails,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
26 Palestinian prisoners,Palestinian prisoner,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Syria regime,Syria army,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
evacuation,mop-up operations,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
near Damascus,near Damascus,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Twelve,Five,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
killed,Killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
raid,in Blasts,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"Nicaragua , Venezuela",Bolivia,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
asylum,asylum,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to Snowden,to Snowden,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
offer,would grant,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
after Alabama school bus shooting,in middle school shooting,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
5,3,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in Pakistan blast,in Boston blasts,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
injured,injured,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
50,138,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
to strengthen,to strengthen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
occupied Palestinian territory,occupied Palestinian territory,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Palestinians,Palestinians,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
coordinate,coordinated,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on peace talks,on peace talks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Palestinians , Jordan",PA,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
kills,kills,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
5,at least ten,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
in Pakistan,in Pakistan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to dispute,cop on,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
` Blade Runner ' Pistorius,Pistorius,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
president,Former New Mexico Gov. Richardson,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
across Egypt,at Cairo,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Four,Student,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
in clashes,in clashes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Afghan police,"5 Taliban , 5 Afghan police","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
kill,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of Its Chemical Weapons Stockpile,Chemical Weapons,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Mixed reactions,legalizes,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
to NZ same-sex marriage,same-sex marriage,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's Shebab,Syrian rebels,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
responsibility,responsibility,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
claims,claim,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Glasgow Helicopter Crash,Glasgow Helicopter Crash,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
India,India,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Braces,red alert,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
for Massive Cyclone,for cyclone Phailin,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Many,Many,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Singapore shares,Singapore shares,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
lower,higher,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
open,open,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Friday,on Thursday,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
11 Dead,kill,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Two Earthquakes,Twin quakes,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Northwest China,in China,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Egypt ministry,Egypt,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
to pro-Morsi protests,after pro-Morsi protest,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,is,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on tree branches,on tree branches,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A cat,A black and white cat,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A large boat,A large boat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the water,on the sea,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A passenger train,A passenger train,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
waiting,sits,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in a station,in the station,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on the floor,on the floor,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
An Apple computer,A Macintosh computer,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A jockey,A jockey,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a horse,a horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
riding,riding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A woman,A young girl,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
a brown horse,a brown horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
riding,riding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sleeps,asleep,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a baby,holding a baby,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
in front of yellow flowers,in a field,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A black dog,A black dog,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in afield,in a field,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,grazing,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
sheep,A sheep,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,stands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A dark brown horse,A brown horse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in a field,in a lush green field,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
with food,with food and beer,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
of people,of people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
around a table,around a table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A brown horse,A brown horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a lush green field,in a green field,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
with two cats,with two cats,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at her feet,at her feet,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a kitchen,in the kitchen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
stands,is standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
An elderly woman,The old lady,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Red double decker bus,Double decker passenger bus,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
through the streets,with traffic,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
driving,driving,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a cluttered room,in a cluttered room,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,lies,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
A man,A man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
walking,walking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
under trees,under the tree,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Black cow,Cow,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in pasture,in a pasture,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A smiling woman,Two women,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
with another smiling woman,laughing,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
outside,outside,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a big necklace,with a black top and a necklace,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
a woman,A young woman,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
in grass,in a grassy area,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
standing,standing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Brown and white cow,A brown and white cow,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a horse,a horse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
riding,rides,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A jockey,A jockey,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
rides,rides,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A person,A person,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a bike,a bike,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a helmet,a bike helmet,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
wearing,wearing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of horses,of horses,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
grazing,grazing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in grassy field,in a field,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
a helmet,a bike helmet,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A young blonde girl,A young girl,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
behind her,in the background,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a red bicycle,with a bicycle,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
wearing,wearing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A striped cat,Domestic cat,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
laying down,laying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of cat litter,of cat litter,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Five birds,Several cardinals,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
on the snow,in the snow,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
stand,stand,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
posing,is standing,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
by a pillar,by a pillar,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A woman,a woman,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a U2 sign,where `` u2 '' is written,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A red moped,The red scooter,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
parked,is sitting,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
on a sidewalk,on the street,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in front of graffiti,in front of the building,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
on couch,on a couch,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two dogs and one cat,Two dogs and a cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,resting,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
with their thumbs up,the thumbs up sign,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
One Asian and one occasion woman,Two women,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
smiling,are posing,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
in front of an alpine lake,"next to a mountain , and a body","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
grazing,grazing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two mountain goats,Two animals,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
in a station,at the city train station,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
waiting,waiting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A passenger train,A passenger train,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A bicycle,A bicycle,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is parked,is parked,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
by a shop,outside a bookstore,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
in a black leather chair,on a leather chair,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A orange and white cat,A ginger and white cat,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
laying,asleep,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
on train tracks,on the train tracks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Black train,A train,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
on a black couch,on couch,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Young couple,Young couple,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a couch,on couch,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A couple,Young couple,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
posing,sitting,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Red double decker bus,Red double decker bus,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at a restaurant table,around a table,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
of people,of people,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
napping,sleeping,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
under a small table,under a table,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
a dog,A dog,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on water,on the water,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A boat,Sail boat,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
is sailing,sailing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a small baby,a baby,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
holding,holding,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A smiling woman,Two smiling women,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Red double decker bus,A red double decker bus,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of street,on a city street,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
the window,of a window,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
looking out,looking out,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Gray cat,A cat,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
on the tracks,on the train track,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
sitting,are sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two green and white trains,Two green and white trains,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the camera,the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A cat,"A gray , black , and white cat","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
looking at,looking at,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A gray cat,A gray cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a wooden table,on a dining table,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
lying,laying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a chair,on chair,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a baby,with infant,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A father,Man,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
napping,sleeping,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
on tree branch,on a tree branch,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
perched,perched,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Green and white bird,Bird,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A red and white plane,Red and white plane,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
flying,flying,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a viking hat,a viking hat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a woman,Smiling woman,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
on,wearing,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
standing,stands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
underneath a chair,on the floor,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
A small white cat,A white cat,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
at a table,around a table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of people,of elderly people,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
A group,Group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
eat,sitting,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
standing,stands,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A bull,A brown horse,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in the field,in a lush green field,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
jumping,playing,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
at a table,around a dining table,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of people,of elderly people,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
are looking at,looking out,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Two cats,A white cat,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
a window,of a window,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the background,in the background,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with a horse,with other lambs,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
perched,is perched,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A small red and gray bird,A red and brown bird,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
amongst the bare branches,on branches,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
on a rural road,along a dirt road,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
is driving,driving,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Three young women,Two Indian women,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in a field,in a field,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of sheep,of horses,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A group,A group,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in a green pasture,in the pasture,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Two white cows,The tan horse,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
at a table,at a table,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Two people,four people,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A women,A man and two women,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
sitting,sitting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on a sofa,on a blue sofa,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Black and white cat,The black and white cat,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
lying,lounges,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
under bush,in the dirt,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
at the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is looking,looking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The lamb,A cat,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
A black and white photo,A black and white photo,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A black and white cat,Black and white lamb,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
posing,are posing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for the camera,for the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
A man and small child,A man and woman,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
A black vehicle,A black car,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
parked,parked,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
The black and white bull,A black and white dog,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
at the camera,at the camera,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
is looking,looking,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in the background,in the background,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of sheep,A white cat,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
beside the road,in the field,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
are grazing,grazing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Five cows,Several sheep,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in a living room,in a dining room,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
